id,created_at,updated_at,deleted_at,city,department_id
1,,,,Medellín,5
2,,,,Abejorral,5
3,,,,Abriaquí,5
4,,,,Alejandría,5
5,,,,Amagá,5
6,,,,Amalfi,5
7,,,,Andes,5
8,,,,Angelópolis,5
9,,,,Angostura,5
10,,,,Anorí,5
11,,,,Anza,5
12,,,,Apartadó,5
13,,,,Arboletes,5
14,,,,Argelia,5
15,,,,Armenia,5
16,,,,Barbosa,5
17,,,,Bello,5
18,,,,Betania,5
19,,,,Betulia,5
20,,,,Ciudad Bolívar,5
21,,,,Briceño,5
22,,,,Buriticá,5
23,,,,Cáceres,5
24,,,,Caicedo,5
25,,,,Caldas,5
26,,,,Campamento,5
27,,,,Cañasgordas,5
28,,,,Caracolí,5
29,,,,Caramanta,5
30,,,,Carepa,5
31,,,,Carolina,5
32,,,,Caucasia,5
33,,,,Chigorodó,5
34,,,,Cisneros,5
35,,,,Cocorná,5
36,,,,Concepción,5
37,,,,Concordia,5
38,,,,Copacabana,5
39,,,,Dabeiba,5
40,,,,Don Matías,5
41,,,,Ebéjico,5
42,,,,El Bagre,5
43,,,,Entrerrios,5
44,,,,Envigado,5
45,,,,Fredonia,5
46,,,,Giraldo,5
47,,,,Girardota,5
48,,,,Gómez Plata,5
49,,,,Guadalupe,5
50,,,,Guarne,5
51,,,,Guatapé,5
52,,,,Heliconia,5
53,,,,Hispania,5
54,,,,Itagui,5
55,,,,Ituango,5
56,,,,Belmira,5
57,,,,Jericó,5
58,,,,La Ceja,5
59,,,,La Estrella,5
60,,,,La Pintada,5
61,,,,La Unión,5
62,,,,Liborina,5
63,,,,Maceo,5
64,,,,Marinilla,5
65,,,,Montebello,5
66,,,,Murindó,5
67,,,,Mutatá,5
68,,,,Nariño,5
69,,,,Necoclí,5
70,,,,Nechí,5
71,,,,Olaya,5
72,,,,Peñol,5
73,,,,Peque,5
74,,,,Pueblorrico,5
75,,,,Puerto Berrío,5
76,,,,Puerto Nare,5
77,,,,Puerto Triunfo,5
78,,,,Remedios,5
79,,,,Retiro,5
80,,,,Rionegro,5
81,,,,Sabanalarga,5
82,,,,Sabaneta,5
83,,,,Salgar,5
84,,,,San Francisco,5
85,,,,San Jerónimo,5
86,,,,San Luis,5
87,,,,San Pedro,5
88,,,,San Rafael,5
89,,,,San Roque,5
90,,,,San Vicente,5
91,,,,Santa Bárbara,5
92,,,,Santo Domingo,5
93,,,,El Santuario,5
94,,,,Segovia,5
95,,,,Sopetrán,5
96,,,,Támesis,5
97,,,,Tarazá,5
98,,,,Tarso,5
99,,,,Titiribí,5
100,,,,Toledo,5
101,,,,Turbo,5
102,,,,Uramita,5
103,,,,Urrao,5
104,,,,Valdivia,5
105,,,,Valparaíso,5
106,,,,Vegachí,5
107,,,,Venecia,5
108,,,,Yalí,5
109,,,,Yarumal,5
110,,,,Yolombó,5
111,,,,Yondó,5
112,,,,Zaragoza,5
113,,,,San Pedro de Uraba,5
114,,,,Santafé de Antioquia,5
115,,,,Santa Rosa de Osos,5
116,,,,San Andrés de Cuerquía,5
117,,,,Vigía del Fuerte,5
118,,,,San José de La Montaña,5
119,,,,San Juan de Urabá,5
120,,,,El Carmen de Viboral,5
121,,,,San Carlos,5
122,,,,Frontino,5
123,,,,Granada,5
124,,,,Jardín,5
125,,,,Sonsón,5
126,,,,Barranquilla,8
127,,,,Baranoa,8
128,,,,Candelaria,8
129,,,,Galapa,8
130,,,,Luruaco,8
131,,,,Malambo,8
132,,,,Manatí,8
133,,,,Piojó,8
134,,,,Polonuevo,8
135,,,,Sabanagrande,8
136,,,,Sabanalarga,8
137,,,,Santa Lucía,8
138,,,,Santo Tomás,8
139,,,,Soledad,8
140,,,,Suan,8
141,,,,Tubará,8
142,,,,Usiacurí,8
143,,,,Juan de Acosta,8
144,,,,Palmar de Varela,8
145,,,,Campo de La Cruz,8
146,,,,Repelón,8
147,,,,Puerto Colombia,8
148,,,,Ponedera,8
149,,,,Bogotá D.C.,11
150,,,,Achí,13
151,,,,Arenal,13
152,,,,Arjona,13
153,,,,Arroyohondo,13
154,,,,Calamar,13
155,,,,Cantagallo,13
156,,,,Cicuco,13
157,,,,Córdoba,13
158,,,,Clemencia,13
159,,,,El Guamo,13
160,,,,Magangué,13
161,,,,Mahates,13
